"","date_dt","total_cases","new_case","total_deaths","new_deaths","total_persons_tested","new_persons_tested"
"1",2020-05-10,30759,37,1460,3,NA,NA
"2",2020-05-09,30722,121,1457,10,245325,174
"3",2020-05-08,30601,347,1447,20,245151,2290
"4",2020-05-07,30254,557,1427,33,242861,4906
"5",2020-05-06,29697,569,1394,39,237955,6618
"6",2020-05-05,29128,964,1355,28,231337,7279
"7",2020-05-04,28164,712,1327,32,224058,6936
"8",2020-05-03,27452,287,1295,38,217122,2290
"9",2020-05-02,27165,551,1257,41,214832,3613
"10",2020-05-01,26614,742,1216,35,211219,7455
"11",2020-04-30,25872,861,1181,39,203764,7825
"12",2020-04-29,25011,858,1142,38,195939,10078
"13",2020-04-28,24153,914,1104,50,185861,10130
"14",2020-04-27,23239,1028,1054,36,175731,11342
"15",2020-04-26,22211,387,1018,41,164389,4193
"16",2020-04-25,21824,770,977,39,160196,8953
"17",2020-04-24,21054,941,938,41,151243,8892
"18",2020-04-23,20113,898,897,46,142351,6224
"19",2020-04-22,19215,642,851,44,136127,6504
"20",2020-04-21,18573,742,807,40,129623,7946
"21",2020-04-20,17831,752,767,47,121677,5925
"22",2020-04-19,17079,347,720,35,115752,2860
"23",2020-04-18,16732,501,685,39,112892,5381
"24",2020-04-17,16231,754,646,38,107511,7061
"25",2020-04-16,15477,758,608,60,100450,6642
"26",2020-04-15,14719,793,548,35,93808,7045
"27",2020-04-14,13926,588,513,49,86763,4593
"28",2020-04-13,13338,615,464,42,82170,3314
"29",2020-04-12,12723,328,422,35,78856,1114
"30",2020-04-11,12395,405,387,30,77742,3003
"31",2020-04-10,11990,534,357,30,74739,5894
"32",2020-04-09,11456,560,327,37,68845,5542
"33",2020-04-08,10896,556,290,39,63303,4175
"34",2020-04-07,10340,681,251,27,59128,3360
"35",2020-04-06,9659,470,224,17,55768,2631
"36",2020-04-05,9189,537,207,23,53137,1441
"37",2020-04-04,8652,559,184,22,51696,2453
"38",2020-04-03,8093,759,162,26,49243,4656
"39",2020-04-02,7334,567,136,22,44587,4136
"40",2020-04-01,6767,591,114,18,40451,4198
"41",2020-03-31,6176,613,96,17,36253,3787
"42",2020-03-30,5563,589,79,11,32466,3615
"43",2020-03-29,4974,346,68,15,28851,1013
"44",2020-03-28,4628,370,53,8,27838,2531
"45",2020-03-27,4258,352,45,9,25307,3048
"46",2020-03-26,3906,365,36,5,22259,2603
"47",2020-03-25,3541,422,31,6,19656,2553
"48",2020-03-24,3119,268,25,3,17103,2378
"49",2020-03-23,2851,272,22,7,14725,2130
"50",2020-03-22,2579,234,15,4,12595,705
"51",2020-03-21,2345,181,11,3,11890,829
"52",2020-03-20,2164,222,8,3,11061,1829
"53",2020-03-19,1942,207,5,4,9232,1659
"54",2020-03-18,1735,166,1,0,7573,1572
"55",2020-03-17,1569,196,1,0,6001,1671
"56",2020-03-16,1373,212,1,0,4330,1367
"57",2020-03-15,1161,152,1,0,2963,492
"58",2020-03-14,1009,138,1,0,2471,456
"59",2020-03-13,871,142,1,0,2015,756
"60",2020-03-12,729,152,1,0,1259,626
"61",2020-03-11,577,128,1,0,633,253
"62",2020-03-10,449,84,1,1,380,121
